ASMID,SPECIES,STRAIN,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,LOCUSTAG
GCA_015708815.1_ASM1570881v1,Kodamaea anthophila,UWOPS95-602.1,PRJNA648971,77851,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kodamaea,Kodamaea anthophila,FDC18538
GCA_030574295.1_ASM3057429v1,Kodamaea arcana,NRRL Y-27712,PRJNA736342,234568,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kodamaea,Kodamaea arcana,F12613A2
GCA_030570035.1_ASM3057003v1,Kodamaea derodonti,NRRL Y-27711,PRJNA736342,234567,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kodamaea,Kodamaea derodonti,F72C83B4
GCA_030572255.1_ASM3057225v1,Kodamaea fukazawae,JCM 1641,PRJNA736342,95811,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kodamaea,Kodamaea fukazawae,FB76BC90
GCA_030560575.1_ASM3056057v1,Kodamaea fungicola,JCM 10142,PRJNA736342,95809,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kodamaea,Kodamaea fungicola,FE530D73
GCA_030568835.1_ASM3056883v1,Kodamaea hsintzibuensis,CBS 11427 T,PRJNA736342,1072096,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kodamaea,Kodamaea hsintzibuensis,F1083CD2
GCA_030556895.1_ASM3055689v1,Kodamaea jinghongensis,CBS 14700,PRJNA736342,1943671,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kodamaea,Kodamaea jinghongensis,F6597850
GCA_030558435.1_ASM3055843v1,Kodamaea kakaduensis,CBS 8611,PRJNA736342,85574,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kodamaea,Kodamaea kakaduensis,F01DE0FC
GCA_030558205.1_ASM3055820v1,Kodamaea kaohsiungensis,CBS 11435,PRJNA736342,1072097,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kodamaea,Kodamaea kaohsiungensis,F132A6B5
GCA_030558845.1_ASM3055884v1,Kodamaea laetipori,NRRL Y-27713,PRJNA736342,271274,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kodamaea,Kodamaea laetipori,F6E76228
GCA_030564445.1_ASM3056444v1,Kodamaea leandrae,NRRL Y-27757,PRJNA736342,255381,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kodamaea,Kodamaea leandrae,FAB53088
GCA_030562865.1_ASM3056286v1,Kodamaea lidongshanica,CBS 11426,PRJNA736342,1072098,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kodamaea,Kodamaea lidongshanica,F640C7AE
GCA_030565385.1_ASM3056538v1,Kodamaea neixiangensis,CBS 14699,PRJNA736342,1943670,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kodamaea,Kodamaea neixiangensis,FCA35080
GCA_030674215.1_ASM3067421v1,Kodamaea nitidulidarum,NRRL Y-27353,PRJNA736342,77852,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kodamaea,Kodamaea nitidulidarum,FB40E949
GCA_004919595.1_Kodohm_148,Kodamaea ohmeri,148,PRJNA525764,34356,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kodamaea,Kodamaea ohmeri,F80BE89E
GCA_030705055.1_ASM3070505v1,Kodamaea plutei,NRRL Y-27715,PRJNA736342,271264,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kodamaea,Kodamaea plutei,F92D32FD
GCA_003707425.3_ASM370742v3,Kodamaea restingae,NRRL Y-27358,PRJNA429441,77849,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kodamaea,Kodamaea restingae,FEBD3489
GCA_030556545.1_ASM3055654v1,Kodamaea sagamina,JCM 10144,PRJNA736342,95810,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kodamaea,Kodamaea sagamina,F02F3506
GCA_030582715.1_ASM3058271v1,Kodamaea sp. yHQL449,yHQL449,PRJNA736342,2866343,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kodamaea,Kodamaea sp. yHQL449,F48A8A3F
GCA_030578635.1_ASM3057863v1,Kodamaea sp. yHQL451,yHQL451,PRJNA736342,2866344,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kodamaea,Kodamaea sp. yHQL451,F9051E3A
GCA_030558315.1_ASM3055831v1,Kodamaea suecica,NRRL Y-12943,PRJNA736342,45595,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kodamaea,Kodamaea suecica,F6C4E707
GCA_023212975.1_ASM2321297v1,Komagataella kurtzmanii,CBS 12817,PRJNA770850,1342318,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Komagataella,Komagataella kurtzmanii,F2647701
GCA_023213015.1_ASM2321301v1,Komagataella mondaviorum,CBS 15017,PRJNA770850,2008544,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Komagataella,Komagataella mondaviorum,F8B1BDCB
GCA_001708105.1_ASM170810v1,Komagataella pastoris,ATCC 28485,PRJNA304627,4922,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Komagataella,Komagataella pastoris,F155F840
GCF_000027005.1_ASM2700v1,Komagataella phaffii GS115,GS115,PRJEA37871,644223,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Komagataella,Komagataella phaffii,F6DAAFA2
GCA_023212995.1_ASM2321299v1,Komagataella populi,CBS 12362,PRJNA770850,1099808,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Komagataella,Komagataella populi,FA1FE067
GCA_023212875.1_ASM2321287v1,Komagataella pseudopastoris,CBS 9187,PRJNA770850,169507,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Komagataella,Komagataella pseudopastoris,F31DDAB5
GCA_023213065.1_ASM2321306v1,Komagataella ulmi,CBS 12361,PRJNA770850,1099807,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Komagataella,Komagataella ulmi,F8905124
GCA_039545315.1_JCM_3789_assembly_v001,Kondoa malvinella,JCM 3789,PRJDB3674,36055,dikarya,Basidiomycota,,Agaricostilbomycetes,,Agaricostilbales,Kondoaceae,Kondoa,Kondoa malvinella,F9FDEFE1
GCA_039545335.1_JCM_5735_assembly_v001,Kondoa subrosea,JCM 5735,PRJDB3675,4995,dikarya,Basidiomycota,,Agaricostilbomycetes,,Agaricostilbales,Kondoaceae,Kondoa,Kondoa subrosea,FB7D555A
GCA_014825775.1_ASM1482577v1,Krasilnikovozyma curviuscula,PYCC 5836,PRJNA371818,2014815,dikarya,Basidiomycota,,Tremellomycetes,,Cystofilobasidiales,Mrakiaceae,Krasilnikovozyma,Krasilnikovozyma curviuscula,F9B2D99E
GCA_019155655.1_ASM1915565v1,Kregervanrija delftensis,NCC-J,PRJNA706002,324739,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Kregervanrija,Kregervanrija delftensis,F9187C7E
GCA_003707275.3_ASM370727v3,Kregervanrija fluxuum,NRRL YB-4273,PRJNA736342,324740,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Kregervanrija,Kregervanrija fluxuum,FF86BD9F
GCA_030580115.1_ASM3058011v1,Kregervanrija pseudodelftensis,NRRL Y-5494,PRJNA736342,324743,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Kregervanrija,Kregervanrija pseudodelftensis,FC3298B2
GCA_030569035.1_ASM3056903v1,Kuraishia borneana,CBS 12507,PRJNA736342,1538147,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Kuraishia,Kuraishia borneana,F6377E4C
GCF_000576695.1_AUH_PRJEB4427_v1,Kuraishia capsulata CBS 1993,CBS 1993,PRJEB4427,1382522,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Kuraishia,Kuraishia capsulata,F461ECF8
GCA_030557465.1_ASM3055746v1,Kuraishia cidri,NRRL Y-27078,PRJNA736342,1538149,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Kuraishia,Kuraishia cidri,F53424CC
GCA_030567535.1_ASM3056753v1,Kuraishia floccosa,NRRL Y-27951,PRJNA736342,181602,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Kuraishia,Kuraishia floccosa,F5A44E44
GCA_030567555.1_ASM3056755v1,Kuraishia hungarica,NRRL Y-27594,PRJNA736342,157291,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Kuraishia,Kuraishia hungarica,F73882C0
GCA_024271875.1_ASM2427187v1,Kuraishia molischiana,VH39_BB,PRJNA841440,317048,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Kuraishia,Kuraishia molischiana,F8A2BEDF
GCA_003706285.3_ASM370628v3,Kuraishia ogatae,NRRL Y-48474,PRJNA429441,537810,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Kuraishia,Kuraishia ogatae,F55E13B7
GCA_030567595.1_ASM3056759v1,Kuraishia piskuri,NRRL YB-2544,PRJNA736342,1538145,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Kuraishia,Kuraishia piskuri,F8CCF0A4
GCA_030573815.1_ASM3057381v1,Kurtzmaniella cleridarum,NRRL Y-48386,PRJNA736342,121466,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kurtzmaniella,Kurtzmaniella cleridarum,F9E7C462
GCA_030581955.1_ASM3058195v1,Kurtzmaniella fragi,NRRL Y-17910,PRJNA736342,52254,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kurtzmaniella,Kurtzmaniella fragi,F12EB8D7
GCA_030574355.1_ASM3057435v1,Kurtzmaniella natalensis,NRRL Y-17680T,PRJNA736342,45571,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kurtzmaniella,Kurtzmaniella natalensis,F6CBFEA3
GCA_030570095.1_ASM3057009v1,Kurtzmaniella quercitrusa,NRRL Y-5392,PRJNA736342,2763128,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kurtzmaniella,Kurtzmaniella quercitrusa,FC5E1A24
GCA_020280125.1_ASM2028012v1,Kurtzmaniella quercitrusa var. comoensis,1112,PRJNA695125,2806626,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kurtzmaniella,Kurtzmaniella quercitrusa var. comoensis,FB99A05D
GCA_020280135.1_ASM2028013v1,Kurtzmaniella quercitrusa var. filamentosus,1120,PRJNA695125,2806627,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Kurtzmaniella,Kurtzmaniella quercitrusa var. filamentosus,F75FF17E
GCF_000512585.2_ASM51258v3,Kwoniella bestiolae CBS 10118,CBS 10118,PRJNA191321,1296100,dikarya,Basidiomycota,,Tremellomycetes,,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella bestiolae,FA3B25B3
GCF_036426115.1_ASM3642611v1,Kwoniella botswanensis,CBS 12716,PRJNA200568,1268659,dikarya,Basidiomycota,,Tremellomycetes,,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella botswanensis,FD1E20C4
GCF_000512565.2_ASM51256v3,Kwoniella dejecticola CBS 10117,CBS 10117,PRJNA191322,1296121,dikarya,Basidiomycota,,Tremellomycetes,,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella dejecticola,F8E9AA8C
GCF_036810415.1_ASM3681041v1,Kwoniella dendrophila CBS 6074,CBS 6074,PRJNA200570,1295534,dikarya,Basidiomycota,,Tremellomycetes,,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella dendrophila,F8D41221
GCF_036810445.1_ASM3681044v1,Kwoniella europaea PYCC6329,PYCC6329,PRJNA227932,1423913,dikarya,Basidiomycota,,Tremellomycetes,,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella europaea,F650FDCD
GCA_000507405.3_Cryp_heve_BCC8398_V1,Kwoniella heveanensis BCC8398,BCC8398,PRJNA191335,1296120,dikarya,Basidiomycota,,Tremellomycetes,,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella heveanensis,F0625E0F
GCF_000507465.2_ASM50746v4,Kwoniella mangroviensis CBS 8507,CBS 8507,PRJNA191223,1296122,dikarya,Basidiomycota,,Tremellomycetes,,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella mangrovensis,F44861AD
GCF_039105145.1_ASM3910514v1,Kwoniella newhampshirensis,CBS 13917,PRJNA660431,1651941,dikarya,Basidiomycota,,Tremellomycetes,,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella newhampshirensis,F35B5D42
GCA_000512605.3_ASM51260v3,Kwoniella pini CBS 10737,CBS 10737,PRJNA191226,1296096,dikarya,Basidiomycota,,Tremellomycetes,,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella pini,F130D510
GCF_008629635.2_ASM862963v2,Kwoniella shandongensis,CBS 12478,PRJNA397435,1734106,dikarya,Basidiomycota,,Tremellomycetes,,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella shandongensis,FEDF6529
GCF_035658355.1_ASM3565835v1,Kwoniella shivajii,CBS 11374,PRJNA667903,564305,dikarya,Basidiomycota,,Tremellomycetes,,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella shivajii,F689C258
GCA_036810365.1_ASM3681036v1,Kwoniella sp. B9012,B9013,PRJNA227933,1423914,dikarya,Basidiomycota,,Tremellomycetes,,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella sp. B9012,FC1CAD9C
GCA_036287355.1_ASM3628735v1,Kwoniella sp. CBS 6097,CBS 6097,PRJNA660472,2770021,dikarya,Basidiomycota,,Tremellomycetes,,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella sp. CBS 6097,FBFDB5F9
GCA_036428585.1_ASM3642858v1,Kwoniella sp. CBS 9459,CBS 9459,PRJNA660483,2770022,dikarya,Basidiomycota,,Tremellomycetes,,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella sp. CBS 9459,FBC96E1F
GCA_036428645.1_ASM3642864v1,Kwoniella sp. DSM 27419,DSM 27419,PRJNA660484,2770024,dikarya,Basidiomycota,,Tremellomycetes,,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella sp. DSM 27419,F441B937
GCA_039654905.1_ASM3965490v1,Laburnicola rhizohalophila,JP-R2018DY-8A,PRJNA517533,2602009,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Didymosphaeriaceae,Laburnicola,Laburnicola rhizohalophila,FDDF01FE
GCA_009805535.1_ASM980553v1,Laburnicola sp. JP-R-44,JP-R-44,PRJNA517533,2511225,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Didymosphaeriaceae,Laburnicola,Laburnicola sp. JP-R-44,FFFC336A
GCA_031010545.1_ASM3101054v1,Laburnicola sp. JP_R_19,JP_R_19,PRJNA517533,2600313,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Didymosphaeriaceae,Laburnicola,Laburnicola sp. JP_R_19,F8C7BE3F
GCA_014281115.1_ASM1428111v1,Laburnicola sp. R22_1,R22_1,PRJNA517533,2761086,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Didymosphaeriaceae,Laburnicola,Laburnicola sp. R22_1,F9CEEE6F
GCA_000827195.1_Laccaria_amethystina_LaAM-08-1_v1.0,Laccaria amethystina LaAM-08-1,LaAM-08-1,PRJNA196025,1095629,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Hydnangiaceae,Laccaria,Laccaria amethystina,FEA66B52
GCF_000143565.1_V1.0,Laccaria bicolor S238N-H82,S238N-H82,PRJNA19043,486041,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Hydnangiaceae,Laccaria,Laccaria bicolor,F2AEA4E9
GCA_018417955.1_ASM1841795v1,Laccaria trichodermophora,EF-36,PRJNA642675,344589,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Hydnangiaceae,Laccaria,Laccaria trichodermophora,FCE07A28
GCA_030569995.1_ASM3056999v1,Lachancea cidri,NRRL Y-12634,PRJNA736342,29831,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Lachancea,Lachancea cidri,F11BFBB5
GCA_900074725.1_LADA0,Lachancea dasiensis,,PRJEB12928,1072105,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Lachancea,Lachancea dasiensis,FF33AE78
GCA_900074765.1_LAFE0,Lachancea fermentati,,PRJEB12930,4955,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Lachancea,Lachancea fermentati,F225575F
GCA_000149225.2_ASM14922v2,Lachancea kluyveri NRRL Y-12651,NRRL Y-12651,PRJNA1445;PRJNA167910,226302,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Lachancea,Lachancea kluyveri,FF5C23E2
GCF_000938715.1_LALA0,Lachancea lanzarotensis,CBS 12615,PRJEB7950,1245769,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Lachancea,Lachancea lanzarotensis,F43398CC
GCA_900074715.1_LAME0,Lachancea meyersii CBS 8951,,PRJEB12931,1266667,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Lachancea,Lachancea meyersii,F7AB479E
GCA_900074745.1_LAMI0,Lachancea mirantina,,PRJEB12932,1230905,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Lachancea,Lachancea mirantina,FD3F6A80
GCA_900074755.1_LANO0,Lachancea nothofagi CBS 11611,,PRJEB12933,1266666,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Lachancea,Lachancea nothofagi,F8EC8D92
GCA_030557885.1_ASM3055788v1,Lachancea quebecensis,yHDO360,PRJNA736342,1654605,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Lachancea,Lachancea quebecensis,F20137B9
GCA_900074735.1_LAFA0,Lachancea sp. fantastica,,PRJEB12929,1230904,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Lachancea,Lachancea sp. fantastica,F9C995D7
GCA_030562185.1_ASM3056218v1,Lachancea sp. yHQL494,yHQL494,PRJNA736342,2866345,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Lachancea,Lachancea sp. yHQL494,FFEB49CD
GCF_000142805.1_ASM14280v1,Lachancea thermotolerans CBS 6340,CBS 6340,PRJNA12499,559295,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Lachancea,Lachancea thermotolerans,F1367751
GCA_030580015.1_ASM3058001v1,Lachancea waltii,NRRL Y-8285,PRJNA736342,4914,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Lachancea,Lachancea waltii,F07CB1B6
GCA_007821475.1_CFIA_Lari_EG2017,Lachnellula arida,CBS 203.66,PRJNA437631,1316785,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Lachnaceae,Lachnellula,Lachnellula arida,FE940E99
GCA_007825325.1_CFIA_Lcer_EG2017,Lachnellula cervina,CBS 625.97,PRJNA437640,1316786,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Lachnaceae,Lachnellula,Lachnellula cervina,FC215AC3
GCF_007821495.1_CFIA_Lhya_EG2017,Lachnellula hyalina,CBS 185.66,PRJNA437642,1316788,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Lachnaceae,Lachnellula,Lachnellula hyalina,F1C143CC
GCA_007821535.1_CFIA_Locc_EG2017,Lachnellula occidentalis,CBS 160.35,PRJNA437649,215460,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Lachnaceae,Lachnellula,Lachnellula occidentalis,F347EDEF
GCA_007821545.1_CFIA_Lsub_EG2017,Lachnellula subtilissima,CBS 197.66,PRJNA437651,602034,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Lachnaceae,Lachnellula,Lachnellula subtilissima,F7EC56A0
GCA_007825345.1_CFIA_Lsue_EG2017,Lachnellula suecica,CBS 268.59,PRJNA407966,602035,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Lachnaceae,Lachnellula,Lachnellula suecica,F252DF2F
GCA_007825375.1_CFIA_Lawi_EG2017,Lachnellula willkommii,CBS 172.35,PRJNA412379,215461,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Lachnaceae,Lachnellula,Lachnellula willkommii,F4F77CCF
GCA_003988875.1_ASM398887v1,Lachnum nothofagi,D664,PRJNA487672,2283846,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Lachnaceae,Lachnum,Lachnum nothofagi,FE97979A
GCA_021524915.1_Lacaka1,Lactarius akahatsu,QP,PRJNA500123,416441,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactarius,Lactarius akahatsu,F2288138
GCA_021525775.1_Lacdel1,Lactarius deliciosus,48,PRJNA500114,55514,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactarius,Lactarius deliciosus,FCC6441C
GCA_951394315.1_gfLacEvos1.1,Lactarius evosmus,,PRJEB58661;PRJEB62072,326039,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactarius,Lactarius evosmus,F09DACD7
GCA_024734325.1_ASM2473432v1,Lactarius hatsudake,JH5,PRJNA605941,416442,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactarius,Lactarius hatsudake,F33A7245
GCA_021525025.1_Lachen1,Lactarius hengduanensis,84,PRJNA500115,1932122,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactarius,Lactarius hengduanensis,F801C54D
GCA_025766275.1_Lacind1,Lactarius indigo,2018DUKE089,PRJNA654964,222702,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactarius,Lactarius indigo,F50269A2
GCA_025769895.1_Lacpsa1,Lactarius psammicola,BPL869,PRJNA345982,1907521,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactarius,Lactarius psammicola,F749F2B7
GCA_021525015.1_Lacpse1,Lactarius pseudohatsudake,88,PRJNA500116,1932123,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactarius,Lactarius pseudohatsudake,FC5E8576
GCA_015025155.1_Lacqui1,Lactarius quietus,S23C,PRJNA245616,111141,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactarius,Lactarius quietus,FAB5C0F4
GCA_021527775.1_Lacsan1,Lactarius sanguifluus,B21,PRJNA500120,111137,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactarius,Lactarius sanguifluus,FEADF063
GCA_003315925.1_ASM331592v1,Lactarius sp. MG121,MG121,PRJNA454572,2175976,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactarius,Lactarius sp. MG121,F3C14E7A
GCA_003314065.1_ASM331406v1,Lactarius sp. MG50,MG50,PRJNA454572,2175975,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactarius,Lactarius sp. MG50,F92CCFEF
GCA_963281015.1_gfLacTabi1.1,Lactarius tabidus,,PRJEB60192;PRJEB65067,152947,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactarius,Lactarius tabidus,FC919C19
GCA_003315845.1_ASM331584v1,Lactarius trivialis,MG71,PRJNA454572,217427,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactarius,Lactarius trivialis,F7F9A1C7
GCA_021527035.1_Lacviv1,Lactarius vividus,141,PRJNA500118,1740625,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactarius,Lactarius vividus,FE1ED680
GCA_003315975.1_ASM331597v1,Lactifluus echinatus,MG122,PRJNA454572,2017516,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactifluus,Lactifluus echinatus,FD4B3357
GCA_003314055.1_ASM331405v1,Lactifluus hygrophoroides,MG19,PRJNA454572,1837245,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactifluus,Lactifluus hygrophoroides,F72B3495
GCA_003313945.1_ASM331394v1,Lactifluus pinguis,MG27,PRJNA454572,904239,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactifluus,Lactifluus pinguis,F8B6073F
GCA_003315875.1_ASM331587v1,Lactifluus piperatus,MG49,PRJNA454572,71966,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactifluus,Lactifluus piperatus,FACB3682
GCA_003315895.1_ASM331589v1,Lactifluus rugatus,MG108,PRJNA454572,1837266,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactifluus,Lactifluus rugatus,FA15631E
GCA_022496195.1_Lacsub1,Lactifluus subvellereus,BPL653,PRJNA345708,1837270,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactifluus,Lactifluus subvellereus,FC941195
GCA_022376515.1_Lacvol1,Lactifluus volemus,BPL652,PRJNA340520,71967,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactifluus,Lactifluus volemus,FA3C7103
GCF_001632365.1_Laesu1,Laetiporus sulphureus 93-53,93-53,PRJNA196057,1314785,dikarya,Basidiomycota,,Agaricomycetes,,Polyporales,Laetiporaceae,Laetiporus,Laetiporus sulphureus,FE0250B3
GCA_022814265.1_ASM2281426v1,Lambiella insularis,Spribille 39820,PRJNA795879,1397036,dikarya,Ascomycota,,Lecanoromycetes,,Trapeliales,Trapeliaceae,Lambiella,Lambiella insularis,FD0AD664
GCA_020310465.1_ASM2031046v1,Lanmaoa asiatica,LA01,PRJNA713310,1603062,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Lanmaoa,Lanmaoa asiatica,F7BFE534
GCA_038093455.1_MICH10002-Boletus-carminipes,Lanmaoa carminipes,MICH10002,PRJNA1022813,1173595,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Lanmaoa,Lanmaoa carminipes,FC0B7E70
GCA_038092875.1_MICH10030-Boletus-pseudosensibilis,Lanmaoa pseudosensibilis,MICH10030,PRJNA1022813,1354908,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Lanmaoa,Lanmaoa pseudosensibilis,F2932ECE
GCA_000812885.1_ASM81288v1,Lanzia echinophila,CBS 111548,PRJNA254419,1424426,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Rutstroemiaceae,Lanzia,Lanzia echinophila,FEA05764
